,image1,image2,label
5067,demo\Data\LFW_Demo\Muhammad_Ali_0007.jpg,demo\Data\LFW_Demo\David_Beckham_0025.jpg,0
3220,demo\Data\LFW_Demo\Yasser_Arafat_0003.jpg,demo\Data\LFW_Demo\Yasser_Arafat_0007.jpg,1
1859,demo\Data\LFW_Demo\Vladimir_Putin_0018.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0046.jpg,1
4306,demo\Data\LFW_Demo\Andre_Agassi_0022.jpg,demo\Data\LFW_Demo\Andre_Agassi_0025.jpg,1
5437,demo\Data\LFW_Demo\Vladimir_Putin_0039.jpg,demo\Data\LFW_Demo\Carlos_Ghosn_0001.jpg,0
3182,demo\Data\LFW_Demo\Uma_Thurman_0003.jpg,demo\Data\LFW_Demo\Uma_Thurman_0002.jpg,1
4077,demo\Data\LFW_Demo\Vladimir_Putin_0046.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0027.jpg,1
5250,demo\Data\LFW_Demo\Uma_Thurman_0002.jpg,demo\Data\LFW_Demo\George_W_Bush_0329.jpg,0
2771,demo\Data\LFW_Demo\Eduardo_Romero_0001.jpg,demo\Data\LFW_Demo\Gus_Van_Sant_0002.jpg,0
2370,demo\Data\LFW_Demo\Young_Kim_0001.jpg,demo\Data\LFW_Demo\Giuseppe_Gibilisco_0002.jpg,0
5246,demo\Data\LFW_Demo\Andre_Agassi_0034.jpg,demo\Data\LFW_Demo\Andre_Agassi_0029.jpg,1
4587,demo\Data\LFW_Demo\Gordon_Brown_0013.jpg,demo\Data\LFW_Demo\Ralph_Firman_0001.jpg,0
3782,demo\Data\LFW_Demo\Guillermo_Coria_0030.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0021.jpg,1
5874,demo\Data\LFW_Demo\Richard_Virenque_0005.jpg,demo\Data\LFW_Demo\Jack_Grubman_0002.jpg,0
6213,demo\Data\LFW_Demo\Jonathan_Edwards_0008.jpg,demo\Data\LFW_Demo\Meryl_Streep_0009.jpg,0
2526,demo\Data\LFW_Demo\Gordon_Brown_0006.jpg,demo\Data\LFW_Demo\Colin_Powell_0085.jpg,0
107,demo\Data\LFW_Demo\Mel_Brooks_0002.jpg,demo\Data\LFW_Demo\Naoto_Kan_0003.jpg,0
29,demo\Data\LFW_Demo\Michael_Andretti_0001.jpg,demo\Data\LFW_Demo\Colin_Powell_0018.jpg,0
2900,demo\Data\LFW_Demo\Allan_Kemakeza_0001.jpg,demo\Data\LFW_Demo\Andy_Graves_0001.jpg,0
6307,demo\Data\LFW_Demo\Amelie_Mauresmo_0015.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0010.jpg,1
751,demo\Data\LFW_Demo\Amelie_Mauresmo_0002.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0015.jpg,1
584,demo\Data\LFW_Demo\Yasser_Arafat_0002.jpg,demo\Data\LFW_Demo\Yasser_Arafat_0008.jpg,1
1220,demo\Data\LFW_Demo\Tom_Poston_0001.jpg,demo\Data\LFW_Demo\Paul_McCartney_0003.jpg,0
2268,demo\Data\LFW_Demo\Muhammad_Ali_0005.jpg,demo\Data\LFW_Demo\Donald_Rumsfeld_0106.jpg,0
1345,demo\Data\LFW_Demo\Guillermo_Coria_0028.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0006.jpg,1
3286,demo\Data\LFW_Demo\Saddam_Hussein_0022.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0016.jpg,1
4401,demo\Data\LFW_Demo\Andre_Agassi_0003.jpg,demo\Data\LFW_Demo\Andre_Agassi_0022.jpg,1
548,demo\Data\LFW_Demo\Stuart_Townsend_0001.jpg,demo\Data\LFW_Demo\Ajit_Agarkar_0001.jpg,0
5078,demo\Data\LFW_Demo\Andre_Agassi_0028.jpg,demo\Data\LFW_Demo\Andre_Agassi_0007.jpg,1
2704,demo\Data\LFW_Demo\Yasser_Arafat_0002.jpg,demo\Data\LFW_Demo\Kristen_Rivera_0001.jpg,0
6113,demo\Data\LFW_Demo\Matthew_Broderick_0004.jpg,demo\Data\LFW_Demo\Matthew_Broderick_0003.jpg,1
3347,demo\Data\LFW_Demo\Barry_Diller_0001.jpg,demo\Data\LFW_Demo\Nicanor_Duarte_Frutos_0008.jpg,0
3058,demo\Data\LFW_Demo\Andre_Agassi_0033.jpg,demo\Data\LFW_Demo\Andre_Agassi_0026.jpg,1
6335,demo\Data\LFW_Demo\Hikmat_al-Azzawi_0001.jpg,demo\Data\LFW_Demo\Arnoldo_Aleman_0003.jpg,0
6431,demo\Data\LFW_Demo\Andre_Agassi_0012.jpg,demo\Data\LFW_Demo\Andre_Agassi_0019.jpg,1
4604,demo\Data\LFW_Demo\Richard_Virenque_0007.jpg,demo\Data\LFW_Demo\Roger_Etchegaray_0001.jpg,0
6168,demo\Data\LFW_Demo\Guillermo_Coria_0001.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0023.jpg,1
4577,demo\Data\LFW_Demo\Iain_Duncan_Smith_0003.jpg,demo\Data\LFW_Demo\Michael_Bloomberg_0004.jpg,0
2488,demo\Data\LFW_Demo\Hans_Peter_Briegel_0001.jpg,demo\Data\LFW_Demo\Tom_Ridge_0019.jpg,0
4898,demo\Data\LFW_Demo\Vladimir_Putin_0013.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0035.jpg,1
1483,demo\Data\LFW_Demo\Saddam_Hussein_0015.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0010.jpg,1
4454,demo\Data\LFW_Demo\Gabrielle_Union_0001.jpg,demo\Data\LFW_Demo\Mohammad_Khatami_0004.jpg,0
2715,demo\Data\LFW_Demo\Connie_Chung_0001.jpg,demo\Data\LFW_Demo\George_W_Bush_0351.jpg,0
5386,demo\Data\LFW_Demo\Amelie_Mauresmo_0015.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0003.jpg,1
1536,demo\Data\LFW_Demo\Saddam_Hussein_0005.jpg,demo\Data\LFW_Demo\Gerhard_Schroeder_0093.jpg,0
3605,demo\Data\LFW_Demo\Andre_Agassi_0033.jpg,demo\Data\LFW_Demo\Andre_Agassi_0023.jpg,1
90,demo\Data\LFW_Demo\Raza_Rabbani_0001.jpg,demo\Data\LFW_Demo\Gray_Davis_0018.jpg,0
